320,156
258,497
-313,615
-441,211
-448,-153
-36,-85
759,-257
314,-52
-180,412
-149,327
-505,18
-305,-310
116,-460
148,-12
500,578
84,442
-448,378
-269,80
-194,-460
165,-267
278,223
179,568
15,258
-617,49
-472,-57
34,-484
219,-95
444,368
87,390
-292,327
-433,-172
-395,-269
172,-250
460,-127
440,471
86,390
-446,238
-401,51
-80,-469
202,-332
516,122
343,352
-164,326
-428,159
-345,-324
-34,-500
156,-109
233,46
103,270
-366,368
-408,-2
-129,-305
280,-321
599,-88
220,282
-141,398
-258,305
-220,95
162,-457
315,-436
291,228
175,444
-293,495
-572,240
-332,-429
110,-401
356,-292
330,-56
39,572
-245,451
-578,30
-358,-149
319,-217
323,-52
91,352
-25,664
-445,254
-530,-228
-46,-256
420,-265
512,147
143,659
-378,499
-627,68
-366,-391
-51,-460
276,-15
455,148
-29,199
-558,390
-661,272
-327,-77
260,-388
492,-92
450,507
-167,308
-668,335
-345,214
7,-416
314,-302
443,80
146,327
-285,524
-412,288
-216,-142
93,-513
322,-367
378,227
121,216
-389,268
-369,322
-59,-278
169,-296
363,-28
140,171
-57,529
-410,307
-540,-124
-77,-216
1,-285
399,87
330,574
-384,455
-389,234
-478,-154
-129,-393
482,-97
478,191
190,356
-556,443
-606,52
-73,-304
220,-146
610,-76
359,356
-115,450
-318,15
-474,-102
-32,-390
290,-322
388,107
347,368
-320,464
-524,105
-359,-121
58,-356
621,-324
324,328
-102,268
-358,280
-456,184
-210,-326
58,-460
283,-263
270,243
-94,463
-231,287
-305,-76
-237,-300
167,-268
330,66
308,683
-236,575
-741,90
-219,-186
2,-463
314,-288
577,79
33,55
-148,363
-492,396
-438,-217
152,-324
172,-41
325,362
-22,464
-577,199
-517,75
-278,-258
267,-380
465,191
167,372
-209,155
-524,84
-421,-332
99,-348
544,-152
245,-17
-96,538
-268,386
-569,-25
-253,-128
114,-394
223,-41
292,606
-158,535
-355,274
-184,-180
14,-493
354,-185
493,247
154,460
-457,417
-464,296
-133,-177
4,-560
295,-193
466,250
109,443
-354,668
-338,222
127,-572
164,-545
171,62
452,440
40,380
-259,296
-212,-13
-110,-593
209,-354
360,158
230,250
-159,242
-401,-48
-293,-301
11,-396
415,-278
383,87
28,359
-402,458
-606,22
-221,-481
284,-412
407,-192
347,343
4,540
-421,218
-462,68
-174,-321
310,-416
610,32
291,366
-269,335
-478,74
-545,-55
-66,-208
407,-345
102,82
-136,412
-308,443
-473,250
-38,-337
206,-449
347,-161
239,107
-354,510
-387,446
-502,-114
-279,-465
506,-430
340,156
141,654
-148,471
-712,338
-327,-164
271,-711
426,-429
211,-2
-24,244
-202,375
-658,346
-334,-24
211,-643
141,-289
218,575
-168,520
-537,147
-393,-54
-316,-228
147,-310
465,260
101,842
-220,410
-324,10
-454,-201
-212,-476
455,-368
449,52
91,344
-21,257
-414,47
-246,-152
310,-354
417,-244
431,90
-129,220
-601,284
-335,-53
-141,-494
229,-237
559,46
69,316
-613,570
-694,374
-341,-25
10,-476
259,-433
316,198
79,356
-294,400
-412,415
-253,-213
-11,-575
243,-121
347,375
103,442
-230,448
-406,119
-255,-410
287,-262
556,158
295,354
-209,362
-494,124
-343,-361
6,-660
294,-218
463,220
91,259
-453,314
-665,94
-337,-207
116,-392
260,-72
287,484
71,318
-455,143
-620,143
-73,-220
402,-340
405,270
288,655
-115,305
-666,98
-584,-45
8,-344
197,-350
241,-25
106,256
-472,358
-570,231
-212,-236
23,-452
199,-177
206,323
-29,707
-262,166
-402,-265
-202,-297
418,-405
494,36
34,487
-295,356
-557,142
-222,-84
18,-484
138,-383
508,271
-3,426
-354,482
-233,286
-376,-438
146,-472
383,-38
223,509
-32,752
-532,206
